"APPRAISAL_YR","ACCOUNT_NUM","LATE_APP_IND","LATE_DOC_IND"
"2019","99180830750000000","N","N"
"2019","99180918270000000","N","N"
"2019","99181010820000000","N","N"
"2019","99181030700000000","N","N"
"2019","99181108520000000","N","N"
"2019","99181121290000000","N","N"
"2019","99181206560000000","N","N"
"2019","99181218860000000","Y","N"
"2019","99190128570000000","N","N"
"2019","99190130350000000","N","N"
"2019","99190205240000000","N","N"
"2019","99190205760000000","N","N"
"2019","99190207820000000","N","N"
"2019","99190211330000000","N","N"
"2019","99190211620000000","N","N"
"2019","99190212570000000","N","N"
"2019","99190213610000000","Y","N"
"2019","99190214730000000","Y","N"
"2019","99190219110000000","N","N"
"2019","99190225460000000","N","N"
"2019","99190227300000000","N","N"
"2019","99190314500000000","N","N"
"2019","99190325630000000","N","N"
"2019","99190410800000000","N","N"
"2019","99190415100000000","N","N"
"2019","99190417300000000","N","N"
"2019","99190418200000000","N","N"
"2019","99190418400000000","N","N"
"2019","99190418900000000","N","N"
"2019","99190423140000000","N","N"
"2019","99190423500000000","N","N"
"2019","99190424100000000","N","N"
"2019","99190424210000000","N","N"
"2019","99190424900000000","N","N"
"2019","99190425230000000","N","N"
"2019","99190429760000000","N","N"
"2019","99190430180000000","N","N"
"2019","99190430420000000","N","N"
"2019","99190501100000000","N","N"
"2019","99190502540000000","N","N"
"2019","99190502550000000","N","N"
"2019","99190502570000000","N","N"
"2019","99190502590000000","N","N"
"2019","99190503220000000","N","N"
"2019","99190503710000000","N","N"
"2019","99190503810000000","N","N"
"2019","99190503860000000","N","N"
"2019","99190507160000000","N","N"
"2019","99190507360000000","N","N"
"2019","99190507410000000","Y","N"
"2019","99190507430000000","N","N"
"2019","99190507460000000","N","N"
"2019","99190509110000000","N","N"
"2019","99190509140000000","N","N"
"2019","99190514141000000","N","N"
"2019","99190515137000000","N","N"
"2019","99190515142000000","N","N"
"2019","99190515143000000","N","N"
"2019","99190515144000000","N","N"
"2019","99190515147000000","N","N"
"2019","99190515740000000","N","N"
"2019","99190515820000000","N","N"
"2019","99190516260000000","N","N"
"2019","99190516460000000","N","N"
"2019","99190516860000000","Y","N"
"2019","99190517160000000","N","N"
"2019","99190520110000000","N","N"
"2019","99190520320000000","N","N"
"2019","99190521330000000","N","N"
"2019","99190521380000000","N","N"
"2019","99190521430000000","N","N"
"2019","99190521540000000","N","N"
"2019","99190521550000000","N","N"
"2019","99190521610000000","N","N"
"2019","99190607100000000","Y","N"
"2019","99190618100000000","Y","N"
"2019","99190618200000000","Y","N"
"2019","99190619200000000","N","N"
"2019","99190712100000000","N","N"
"2019","99199929900037200","N","N"
"2019","99199929900047050","N","N"
"2019","99199929900081900","N","N"
"2019","99199929900101850","N","N"
"2019","99199929900103250","N","N"
"2019","99199929900132650","N","N"
"2019","99199929900145950","N","N"
"2019","99199929900149050","N","N"
"2019","99199929900155200","N","N"
"2019","99199929900162900","N","N"
"2019","99199929900163050","N","N"
"2019","99199929900163150","N","N"
"2019","99199929900236700","N","N"
"2019","99199929900242400","N","N"
"2019","99199935600009500","N","N"
"2019","99199935600036500","N","N"
"2019","99199935600036750","N","N"
"2019","99199935600039300","N","N"
"2019","99200001000041800","N","N"
"2019","99200001000045100","N","N"
"2019","99200001000055700","N","N"
"2019","99200001000171050","N","N"
"2019","99200001000210400","N","N"
"2019","99200006100033800","N","N"
"2019","99200006100062000","N","N"
"2019","99200006100065400","N","N"
"2019","99200006100143100","N","N"
"2019","99200006100153850","N","N"
"2019","99200006100228150","N","N"
"2019","99200021600040400","N","N"
"2019","99200021600054650","N","N"
"2019","99200021600117700","N","N"
"2019","99200021600191900","N","N"
"2019","99200021600218950","N","N"
"2019","99200021600220900","N","N"
"2019","99200021600240700","N","N"
"2019","99200021600241000","N","N"
"2019","99200029800005500","N","N"
"2019","99200029800163550","N","N"
"2019","99200029800195800","N","N"
"2019","99200029800197400","N","N"
"2019","99200029800197450","N","N"
"2019","99200029800243550","N","N"
"2019","99200029800243700","N","N"
"2019","99200029800248300","N","N"
"2019","99200101700003800","N","N"
"2019","99200101700031050","N","N"
"2019","99200101700036650","N","N"
"2019","99200101700044900","N","N"
"2019","99200101700046200","N","N"
"2019","99200101700051000","N","N"
"2019","99200101700052000","N","N"
"2019","99200101700071000","N","N"
"2019","99200101700072050","N","N"
"2019","99200101700079900","N","N"
"2019","99200101700082550","N","N"
"2019","99200101700094950","N","N"
"2019","99200101700095800","N","N"
"2019","99200101700112000","N","N"
"2019","99200101700112250","N","N"
"2019","99200101700228800","N","N"
"2019","99200108500017450","N","N"
"2019","99200108500040950","N","N"
"2019","99200108500082900","Y","N"
"2019","99200108500084600","N","N"
"2019","99200108500084650","N","N"
"2019","99200108500084700","N","N"
"2019","99200108500141800","N","N"
"2019","99200108500141850","N","N"
"2019","99200108500141950","N","N"
"2019","99200108500142250","N","N"
"2019","99200108500142400","N","N"
"2019","99200108500142450","N","N"
"2019","99200108500142550","N","N"
"2019","99200108500142600","N","N"
"2019","99200108500142650","N","N"
"2019","99200108500142700","N","N"
"2019","99200108500142800","N","N"
"2019","99200108500142850","N","N"
"2019","99200108500143050","N","N"
"2019","99200108500143200","N","N"
"2019","99200108500143350","N","N"
"2019","99200108500143500","N","N"
"2019","99200108500143550","N","N"
"2019","99200108500143650","N","N"
"2019","99200108500143700","N","N"
"2019","99200108500144100","N","N"
"2019","99200108500144150","N","N"
"2019","99200108500144250","N","N"
"2019","99200108500144400","N","N"
"2019","99200108500173350","N","N"
"2019","99200121400043400","N","N"
"2019","99200121400045650","N","N"
"2019","99200121400070500","N","N"
"2019","99200121400089900","N","N"
"2019","99200121400096000","N","N"
"2019","99200121400096700","N","N"
"2019","99200121400108050","N","N"
"2019","99200126700072050","N","N"
"2019","99200126700090700","N","N"
"2019","99200126700090800","N","N"
"2019","99200126700119700","N","N"
"2019","99200126700129600","N","N"
"2019","99200126700150450","N","N"
"2019","99200126700165500","N","N"
"2019","99200126700165550","N","N"
"2019","99200126700178050","N","N"
"2019","99200126700185350","N","N"
"2019","99200126700226550","N","N"
"2019","99200133100002900","N","N"
"2019","99200133100037900","Y","N"
"2019","99200133100043000","N","N"
"2019","99200133100089950","N","N"
"2019","99200200300022150","N","N"
"2019","99200200300033100","N","N"
"2019","99200200300045350","N","N"
"2019","99200200300052750","N","N"
"2019","99200200300052900","N","N"
"2019","99200200300052950","N","N"
"2019","99200200300098450","N","N"
"2019","99200203100074950","N","N"
"2019","99200203100086250","N","N"
"2019","99200207100016550","N","N"
"2019","99200207100041350","N","N"
"2019","99200210700047750","N","N"
"2019","99200210700048100","N","N"
"2019","99200212000015450","N","N"
"2019","99200212700035500","N","N"
"2019","99200213600038900","N","N"
"2019","99200225200012650","N","N"
"2019","99200225200024200","Y","N"
"2019","99200225200029900","N","N"
"2019","99200225200032700","N","N"
"2019","99200225200076950","N","N"
"2019","99200225200100700","N","N"
"2019","99200225200102200","N","N"
"2019","99200225200134000","N","N"
"2019","99200225200134400","N","N"
"2019","99200225200134950","N","N"
"2019","99200225200135300","N","N"
"2019","99200225200155450","N","N"
"2019","99200225200235950","N","N"
"2019","99200225200244100","N","N"
"2019","99200229500027850","N","N"
"2019","99200229500073900","N","N"
"2019","99200229500107050","N","N"
"2019","99200229500132200","N","N"
"2019","99200301800062700","N","N"
"2019","99200301800165950","N","N"
"2019","99200313500019950","N","N"
"2019","99200324700035900","N","N"
"2019","99200324700049000","N","N"
"2019","99200324700070050","N","N"
"2019","99200324700081500","N","N"
"2019","99200324700120950","N","N"
"2019","99200324700127000","N","N"
"2019","99200324700142600","N","N"
"2019","99200324700153000","N","N"
"2019","99200324700159000","N","N"
"2019","99200324700187850","N","N"
"2019","99200324700233300","N","N"
"2019","99200324700287650","N","N"
"2019","99200324700289050","N","N"
"2019","99200324700393200","N","N"
"2019","99200324700414100","N","N"
"2019","99200324700436700","N","N"
"2019","99200324700438000","N","N"
"2019","99200324700459850","N","N"
"2019","99200324700480450","N","N"
"2019","99200334600000250","N","N"
"2019","99200334600000500","N","N"
"2019","99200334600003550","N","N"
"2019","99200334600019300","N","N"
"2019","99200334600025650","N","N"
"2019","99200334600042800","N","N"
"2019","99200334600096050","N","N"
"2019","99200334600105350","N","N"
"2019","99200334600108700","N","N"
"2019","99200334600112800","N","N"
"2019","99200334600133250","N","N"
"2019","99200334600153950","N","N"
"2019","99200334600183400","N","N"
"2019","99200334600184000","N","N"
"2019","99200334600194700","N","N"
"2019","99200334600198600","N","N"
"2019","99200334600204650","N","N"
"2019","99200334600249500","N","N"
"2019","99200334600270700","N","N"
"2019","99200334600278300","N","N"
"2019","99200334600285800","N","N"
"2019","99200334600286450","N","N"
"2019","99200334600287750","N","N"
"2019","99200334600300500","N","N"
"2019","99200334600318850","N","N"
"2019","99200334600394200","N","N"
"2019","99200334600398750","N","N"
"2019","99200334600405000","N","N"
"2019","99200334600419000","N","N"
"2019","99200334600419100","N","N"
"2019","99200334600420400","N","N"
"2019","99200334600421450","N","N"
"2019","99200334600423200","N","N"
"2019","99200334600450050","N","N"
"2019","99200334600487950","N","N"
"2019","99200408300002600","N","N"
"2019","99200408300008150","N","N"
"2019","99200408300008200","N","N"
"2019","99200408300015550","N","N"
"2019","99200408300038200","N","N"
"2019","99200408300038250","N","N"
"2019","99200408300044600","N","N"
"2019","99200408300056750","N","N"
"2019","99200408300064150","N","N"
"2019","99200408300073900","N","N"
"2019","99200408300081400","N","N"
"2019","99200408300128550","N","N"
"2019","99200408300155400","N","N"
"2019","99200408300157600","N","N"
"2019","99200408300205500","N","N"
"2019","99200408300240950","N","N"
"2019","99200408300316600","N","N"
"2019","99200408300316800","N","N"
"2019","99200408300316950","N","N"
"2019","99200408300318500","N","N"
"2019","99200408300320400","N","N"
"2019","99200408300457500","N","N"
"2019","99813640000014450","N","N"
"2019","99813640000054250","N","N"
"2019","99813640000054700","N","N"
"2019","99813640000056750","N","N"
"2019","99813640000083850","N","N"
"2019","99813640000120100","N","N"
"2019","99813640000128100","N","N"
"2019","99813640000140050","N","N"
"2019","99813640000167650","N","N"
"2019","99813640000407750","N","N"
"2019","99813640000434500","N","N"
"2019","99813640000443300","N","N"
"2019","99813640000456500","N","N"
"2019","99820130000068600","N","N"
"2019","99820130000102050","N","N"
"2019","99820130000102300","Y","N"
"2019","99820130000102450","N","N"
"2019","99820130000134300","N","N"
"2019","99820130000174850","N","N"
"2019","99820230000384600","N","N"
"2019","99820230000385650","N","N"
"2019","99820230000396800","N","N"
"2019","99820230000405950","N","N"
"2019","99820230000416500","N","N"
"2019","99820230000416550","N","N"
"2019","99820230000420000","N","N"
