"ACCOUNT_NUM","APPRAISAL_YR","TAX_OBJ_ID","SEQ_NUM","IMPR_TYP_DESC","IMPR_DESC","YR_BUILT","CONSTR_TYP_DESC","FLOOR_TYP_DESC","EXT_WALL_DESC","NUM_STORIES","AREA_SIZE","VAL_AMT","DEPRECIATION_PCT"
"00000138587050000","2019","00000138587050000","1","ATTACHED GARAGE","GARAGE","1000","BK-BRICK","CONCRETE","UNASSIGNED","0","400","100.00",".35"
"00000138587100000","2019","00000138587100000","1","ATTACHED GARAGE","GARAGE","1000","BK-BRICK","CONCRETE","UNASSIGNED","0","400","100.00",".30"
"00000138587150000","2019","00000138587150000","1","ATTACHED GARAGE","GARAGE","1000","BK-BRICK","CONCRETE","UNASSIGNED","0","400","100.00",".30"
"00000138587200000","2019","00000138587200000","1","ATTACHED GARAGE","GARAGE","1000","BK-BRICK","CONCRETE","UNASSIGNED","0","400","100.00",".30"
"00000138587250000","2019","00000138587250000","1","ATTACHED GARAGE","GARAGE","1000","BK-BRICK","CONCRETE","UNASSIGNED","0","400","100.00",".25"
"00000138587300000","2019","00000138587300000","0","ATTACHED GARAGE","","9999","BK-BRICK","CONCRETE","UNASSIGNED","0","400","100.00",".30"
"00000138587350000","2019","00000138587350000","1","ATTACHED GARAGE","GARAGE","1000","BK-BRICK","CONCRETE","UNASSIGNED","0","400","100.00",".30"
"00000138587400000","2019","00000138587400000","1","ATTACHED GARAGE","GARAGE","1000","BK-BRICK","CONCRETE","UNASSIGNED","0","400","100.00",".30"
"00000138604000000","2019","00000138604000000","1","ATTACHED GARAGE","GARAGE","1000","BK-BRICK","CONCRETE","UNASSIGNED","0","402","13629.05",".45"
"00000138604000000","2019","00000138604000000","2","POOL","","1000","UNASSIGNED","UNASSIGNED","CC-CONCRETE (POOL)","0","1","20000.00",".00"
"00000138604000000","2019","00000138604000000","3","ATTACHED QUARTERS","","1000","MS-MASONRY","UNASSIGNED","BRICK VENEER","1","258","25800.00",".00"
"00000138604000000","2019","00000138604000000","4","DECK","ROOF TOP DECK","2012","UNASSIGNED","UNASSIGNED","FRAME","0","156","7800.00",".00"
"00000138763000000","2019","00000138763000000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","323","12941.74",".35"
"00000138776000000","2019","00000138776000000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","UNASSIGNED","UNASSIGNED","0","514","1.00",".30"
"00000138776050000","2019","00000138776050000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","514","1.00",".30"
"00000138776100000","2019","00000138776100000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","514","1.00",".30"
"00000138776150000","2019","00000138776150000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","514","1.00",".30"
"00000138776200000","2019","00000138776200000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","514","1.00",".30"
"00000138776250000","2019","00000138776250000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","514","1.00",".30"
"00000138776300000","2019","00000138776300000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","514",".00",".30"
"00000138776350000","2019","00000138776350000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","514","1.00",".30"
"00000138776400000","2019","00000138776400000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","UNASSIGNED","UNASSIGNED","0","514","1.00",".30"
"00000138776450000","2019","00000138776450000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","514","100.00",".30"
"00000138776500000","2019","00000138776500000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","514","1.00",".30"
"00000138776550000","2019","00000138776550000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","514","1.00",".30"
"00000138784000000","2019","00000138784000000","1","DETACHED CARPORT","","1000","FR-FRAME","CONCRETE","ALUMINIUM","0","672","6720.00",".50"
"00000138787000000","2019","00000138787000000","1","DETACHED GARAGE","","1000","FR-FRAME","CONCRETE","FRAME","0","759","7590.00",".75"
"00000138817000000","2019","00000138817000000","0","ATTACHED GARAGE","","9999","FR-FRAME","CONCRETE","UNASSIGNED","0","308","12340.73",".35"
"00000138846000000","2019","00000138846000000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","464","9160.00",".20"
"00000138846050000","2019","00000138846050000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","458","9160.00",".20"
"00000138846100000","2019","00000138846100000","2","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","480","9160.00",".20"
"00000138846150000","2019","00000138846150000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","480","9160.00",".20"
"00000138846200000","2019","00000138846200000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","480","8620.00",".15"
"00000138846250000","2019","00000138846250000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","475","8620.00",".20"
"00000138846300000","2019","00000138846300000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","431","8620.00",".20"
"00000138846350000","2019","00000138846350000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","431","8700.00",".20"
"00000138846400000","2019","00000138846400000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","480","8620.00",".20"
"00000138846450000","2019","00000138846450000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","464","10680.00",".20"
"00000138846500000","2019","00000138846500000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","464","10680.00",".20"
"00000138846550000","2019","00000138846550000","1","ATTACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","480","8620.00",".20"
"00000138847000000","2019","00000138847000000","1","DETACHED GARAGE","","2014","UNASSIGNED","UNASSIGNED","FRAME","0","600","24000.00",".00"
"00000138847000000","2019","00000138847000000","2","DETACHED QUARTERS","W/FULL BATH","2014","UNASSIGNED","UNASSIGNED","FRAME","0","960","96000.00",".00"
"00000138970000000","2019","00000138970000000","1","DETACHED GARAGE","","1000","FR-FRAME","CONCRETE","FRAME","0","760","15200.00",".50"
"00000139375000000","2019","00000139375000000","1","DECK","","1000","UNASSIGNED","UNASSIGNED","FRAME","0","1","2000.00",".00"
"00000139483000000","2019","00000139483000000","0","ATTACHED GARAGE","","9999","FR-FRAME","CONCRETE","UNASSIGNED","0","420","16289.48",".03"
"00000139483000000","2019","00000139483000000","1","DECK","ROOF TOP DECK","2014","UNASSIGNED","UNASSIGNED","FRAME","0","435","10875.00",".00"
"00000139513000000","2019","00000139513000000","1","ATTACHED CARPORT","CARPORT","1000","FR-FRAME","CONCRETE","FRAME","0","560","1000.00",".60"
"00000139522000000","2019","00000139522000000","1","ATTACHED CARPORT","","1000","UNASSIGNED","UNASSIGNED","FRAME","0","240","24.00",".90"
"00000139525000000","2019","00000139525000000","0","ATTACHED GARAGE","","9999","BK-BRICK","CONCRETE","UNASSIGNED","0","400","7145.60",".20"
"00000139543000000","2019","00000139543000000","1","DETACHED QUARTERS","APT OVER GA","1000","UNASSIGNED","UNASSIGNED","FRAME","0","431","17240.00",".00"
"00000139543000000","2019","00000139543000000","2","DETACHED GARAGE","GARAGE","1000","FR-FRAME","CONCRETE","FRAME","0","483","9660.00",".00"
"00000139549000000","2019","00000139549000000","2","STORAGE BUILDING","8X5 FRME","1000","UNASSIGNED","UNASSIGNED","FRAME","0","40","160.00",".20"
"00000139549000000","2019","00000139549000000","3","ROOM ADDITION","REAR RM ADDN","2012","UNASSIGNED","UNASSIGNED","FRAME","0","643","18325.50",".05"
"00000139549000000","2019","00000139549000000","4","DETACHED QUARTERS","DET BRICK GUEST HSE","2012","UNASSIGNED","UNASSIGNED","BRICK VENEER","0","668","12692.00",".05"
"00000139552000000","2019","00000139552000000","1","DETACHED GARAGE","","1000","UNASSIGNED","UNASSIGNED","FRAME","0","320","2400.00",".50"
"00000139552000000","2019","00000139552000000","2","ATTACHED CARPORT","","1000","UNASSIGNED","UNASSIGNED","FRAME","0","150","600.00",".60"
"00000139567000000","2019","00000139567000000","1","ATTACHED CARPORT","","1000","UNASSIGNED","UNASSIGNED","FRAME","0","300","900.00",".70"
"00000139594000000","2019","00000139594000000","0","ATTACHED GARAGE","","9999","BK-BRICK","CONCRETE","UNASSIGNED","0","252","10562.95",".20"
"00000139609000000","2019","00000139609000000","1","STORAGE BUILDING","","1000","UNASSIGNED","UNASSIGNED","FIBERBOARD","0","96","480.00",".00"
"00000139615000000","2019","00000139615000000","0","ATTACHED GARAGE","","9999","BK-BRICK","CONCRETE","UNASSIGNED","0","473","18863.89",".05"
"00000139618000000","2019","00000139618000000","0","ATTACHED GARAGE","","9999","BK-BRICK","CONCRETE","UNASSIGNED","0","216","9053.96",".20"
"00000139618000000","2019","00000139618000000","1","DECK","","1000","UNASSIGNED","UNASSIGNED","FRAME","0","1","2000.00",".00"
"00000139627000000","2019","00000139627000000","1","DETACHED GARAGE","GARAGE","1000","FR-FRAME","DIRT","UNASSIGNED","0","320","500.00",".60"
"00000139636000000","2019","00000139636000000","1","ATTACHED GARAGE","","1000","FR-FRAME","CONCRETE","UNASSIGNED","0","440","12861.86",".05"
"00000139639000000","2019","00000139639000000","0","ATTACHED GARAGE","","9999","FR-FRAME","CONCRETE","UNASSIGNED","0","440","12861.86",".05"
"00000139642000000","2019","00000139642000000","1","DETACHED QUARTERS","REAR HOUSE","1946","UNASSIGNED","UNASSIGNED","WEATHERBOARD","0","804","4085.93",".85"
"00000139642000000","2019","00000139642000000","2","ATTACHED CARPORT","CARPORT","1000","FR-FRAME","DIRT","FRAME","0","300","300.00",".80"
"00000139645000000","2019","00000139645000000","1","ATTACHED GARAGE","GARAGE","1000","BK-BRICK","CONCRETE","UNASSIGNED","0","240","10059.96",".20"
"00000139651000000","2019","00000139651000000","1","ATTACHED CARPORT","","1000","UNASSIGNED","UNASSIGNED","FRAME","0","300","2250.00",".00"
"00000139663000000","2019","00000139663000000","0","ATTACHED GARAGE","","9999","FR-FRAME","CONCRETE","UNASSIGNED","0","300","9445.59",".25"
"00000139666000000","2019","00000139666000000","1","ATTACHED CARPORT","CARPORT","1000","MT-METAL","DIRT","ALUMINIUM","0","360","1890.00",".30"
"00000139672000000","2019","00000139672000000","1","ATTACHED CARPORT","","1000","UNASSIGNED","UNASSIGNED","FRAME","0","462","1000.00",".40"
"00000139687000000","2019","00000139687000000","1","ATTACHED CARPORT","","1000","UNASSIGNED","UNASSIGNED","ALUMINIUM","0","400","3000.00",".00"
"00000139690000000","2019","00000139690000000","1","ATTACHED CARPORT","","1000","UNASSIGNED","UNASSIGNED","ALUMINIUM","0","420","3150.00",".00"
"00000139699000000","2019","00000139699000000","0","ATTACHED GARAGE","","9999","BK-BRICK","CONCRETE","UNASSIGNED","0","242","10143.79",".20"
"00000139711000000","2019","00000139711000000","1","DETACHED QUARTERS","816 S. CARROLL(OB)","1000","UNASSIGNED","UNASSIGNED","FRAME","0","1204","6360.00",".00"
