"","Acct","days_from_CO_appro_to_issue","days_from_CO_appro_to_issue_scaled","count_COs","count_COs_scaled","days_since_issue","days_since_issue_scaled","CO_type","CO_sqft","CO_sqft_scaled","occupancy","CO_code_distr"
"1596","00000608964000000",3,0.00312219578590105,3,1.15346438541906,406,3.89531464217474,2,3734,0.0512746953795293,26,3
"1597","00000608983000000",NA,NA,2,0.768976256946041,464,4.45178816248542,2,4751,0.0652399779721863,13,3
"1598","00000608986000000",73,0.0759734307902589,3,1.15346438541906,624,5.9868875288597,2,3471,0.0476632211200713,26,3
"1599","00000609001500000",73,0.0759734307902589,1,0.38448812847302,624,5.9868875288597,2,3471,0.0476632211200713,26,3
"1600","00000609007000000",12,0.0124887831436042,1,0.38448812847302,655,6.28431303109472,2,23480,0.322423633505985,13,3
"1601","00000609016500000",28,0.0291404940017431,1,0.38448812847302,694,6.65849350164845,2,2135,0.0293174811556762,26,3
"1602","00000609070000000",1,0.00104073192863368,1,0.38448812847302,675,6.4762004518915,2,2000,0.0274636825814297,26,3
"1603","00000609100000000",21,0.0218553705013073,2,0.768976256946041,429,4.11598517609105,2,NA,NA,26,3
"1604","00000609127000000",7,0.00728512350043578,1,0.38448812847302,625,5.99648189989954,2,NA,NA,7,3
"1605","00000609157000000",16,0.0166517108581389,1,0.38448812847302,532,5.10420539319449,2,3200,0.0439418921302875,26,3
"1606","00000609184000000",NA,NA,1,0.38448812847302,465,4.46138253352526,2,13600,0.186753041553722,7,3
"1607","00000609206000000",21,0.0218553705013073,5,1.9224406423651,464,4.45178816248542,2,2720,0.0373506083107444,26,3
"1608","00000609208000000",329,0.342400804520482,1,0.38448812847302,623,5.97729315781986,2,2833,0.0389023063765952,2,3
"1609","00000609211000000",6,0.0062443915718021,1,0.38448812847302,660,6.33228488629392,2,33120,0.454798583548476,26,3
"1610","00000609216000000",24,0.0249775662872084,7,2.69141689931114,386,3.70342722137796,2,1982,0.0272165094381968,24,3
"1611","00000609343000000",NA,NA,1,0.38448812847302,709,6.80240906724604,2,7280,0.0999678045964042,7,3
"1612","00000609346250000",1,0.00104073192863368,1,0.38448812847302,428,4.10639080505121,2,2686,0.0368837257068601,26,3
"1613","00000610858000000",74,0.0770141627188926,1,0.38448812847302,728,6.98470211700298,2,2500,0.0343296032267871,20,3
"1614","00000610867000000",74,0.0770141627188926,1,0.38448812847302,728,6.98470211700298,2,2500,0.0343296032267871,20,3
"1615","00000610876000000",74,0.0770141627188926,1,0.38448812847302,728,6.98470211700298,2,2500,0.0343296032267871,20,3
"1616","00000610894000000",781,0.812811636262906,1,0.38448812847302,441,4.23111762856912,2,3075,0.0422254119689482,26,3
"1617","00000610906000000",133,0.13841734650828,3,1.15346438541906,457,4.38462756520654,2,6778,0.0930744202684653,26,3
"1618","00000611278000000",671,0.698331124113201,1,0.38448812847302,409,3.92409775529426,2,5949,0.0816907238384627,4,3
"1619","00000611281000000",671,0.698331124113201,1,0.38448812847302,409,3.92409775529426,2,5949,0.0816907238384627,4,3
"1620","00000611917000000",386,0.401722524452602,2,0.768976256946041,702,6.73524846996716,2,21162,0.290593225394108,4,3
"1621","00000611968000000",NA,NA,1,0.38448812847302,465,4.46138253352526,2,12400,0.170274832004864,7,3
"1622","00000612007000000",NA,NA,1,0.38448812847302,465,4.46138253352526,2,12400,0.170274832004864,7,3
"1623","00000612022000000",NA,NA,1,0.38448812847302,473,4.53813750184397,2,3223,0.044257724479974,7,3
"1624","00000612031000000",959,0.998061919559702,1,0.38448812847302,599,5.74702825286372,2,NA,NA,26,3
"1625","00000612085000000",3,0.00312219578590105,1,0.38448812847302,606,5.81418885014259,2,2000,0.0274636825814297,26,3
"1626","00000612880000000",11,0.0114480512149705,1,0.38448812847302,462,4.43259942040574,2,700,0.0096122889035004,20,3
"1627","00000613207000000",141,0.146743201937349,1,0.38448812847302,679,6.51457793605086,2,2200,0.0302100508395727,20,3
"1628","00000614746000000",0,0,1,0.38448812847302,464,4.45178816248542,1,33000,0.45315076259359,4,5
"1629","00000625171000000",58,0.0603624518607536,1,0.38448812847302,632,6.06364249717842,2,2250,0.0308966429041084,20,3
"1630","00000628258000000",8,0.00832585542906946,1,0.38448812847302,406,3.89531464217474,2,NA,NA,2,3
"1631","00000630469000000",622,0.647335259610151,1,0.38448812847302,611,5.86216070534179,2,2800,0.0384491556140016,20,3
"1632","00000631324000000",4,0.00416292771453473,4,1.53795251389208,423,4.05841894985201,3,NA,NA,7,4
"1633","00000631339000100",4,0.00416292771453473,4,1.53795251389208,423,4.05841894985201,3,NA,NA,7,4
"1634","00000631498000000",NA,NA,1,0.38448812847302,700,6.71605972788749,2,1220,0.0167528463746721,7,3
"1635","00000631543000000",2,0.00208146385726737,2,0.768976256946041,623,5.97729315781986,2,4000,0.0549273651628594,2,3
