"","Shape_STAr","Shape_STLe","Acct","count_of_311"
"190",12215.4042969,463.307013675,"00000565381000000",2.08207164975043
"191",12254.3398438,456.411301244,"00000518857000000",2.08207164975043
"192",13059.1328125,525.544944833,"00000737218000000",2.08207164975043
"193",13537.9638672,529.147708229,"00000268501000000",2.08207164975043
"194",13726.9589844,470.954539101,"00000243235000000",2.08207164975043
"195",14993.5957031,512.88033508,"00000727582000000",2.08207164975043
"196",15667.8964844,526.410241984,"00000708352000000",2.08207164975043
"197",16080.359375,520.333478043,"00000467488000000",2.08207164975043
"198",16280.1308594,585.160761455,"00000737215000000",2.08207164975043
"199",16856.7841797,550.463749143,"00000412369000000",2.08207164975043
"200",19103.5117188,610.500881265,"00000590848000000",2.08207164975043
"201",24415.4414063,694.158286728,"00000370825000000",2.08207164975043
"202",24585.9853516,695.822036118,"00000370822000000",2.08207164975043
"203",24641.5390625,698.999242391,"00000371116000000",2.08207164975043
"204",28599.2421875,730.180328513,"00000503149000000",2.08207164975043
"205",30551.2910156,736.126995923,"00000503137000000",2.08207164975043
"206",33412.5419922,777.591206915,"00000370759000000",2.08207164975043
"207",45663.4316406,1246.03110975,"005775000101A0000",2.08207164975043
"208",48026.4404297,916.68476491,"00000322093000000",2.08207164975043
"209",1955.69628906,178.954205762,"000662000K09B0000",1.38804776650029
"210",2012.87109375,181.185239615,"000662000K08B0000",1.38804776650029
"211",2110.01855469,198.133389267,"000563000C04A0000",1.38804776650029
"212",2185.39453125,191.015023541,"000662000K09A0000",1.38804776650029
"213",2271.13378906,193.997154085,"000662000K08A0000",1.38804776650029
"214",2365.77148438,231.360998539,"00000189826000000",1.38804776650029
"215",2411.6015625,197.349764329,"0005100A000010000",1.38804776650029
"216",2762.67285156,374.747062544,"00659900010280000",1.38804776650029
"217",2832.50488281,213.000198698,"00000125446000000",1.38804776650029
"218",2921.30273438,285.664096297,"00000811286200000",1.38804776650029
"219",3047.52636719,278.432341376,"00000662159610000",1.38804776650029
"220",3054.81933594,277.001343814,"00000662159380000",1.38804776650029
"221",3132.91015625,279.897358016,"00000662159600000",1.38804776650029
"222",3200.04882813,281.032537529,"00000662159590000",1.38804776650029
"223",3237.08203125,237.971737422,"00000626463500000",1.38804776650029
"224",3250.28320313,253.449065102,"0067720D000450000",1.38804776650029
"225",3278.9921875,281.15778878,"00000662159400000",1.38804776650029
"226",3293.76953125,226.647551097,"001324000A18D0000",1.38804776650029
"227",3402.94921875,261.130518813,"0067720D000440000",1.38804776650029
"228",3689.109375,269.039348075,"00000671992000000",1.38804776650029
"229",3770.59667969,270.786114854,"00000671995000000",1.38804776650029
"230",3779.99511719,263.999928761,"00000675952000000",1.38804776650029
"231",3779.99609375,263.999928761,"00000675949000000",1.38804776650029
"232",3845.50585938,261.895886495,"00748700100910000",1.38804776650029
"233",3912.9921875,273.65064571,"00000671989000000",1.38804776650029
"234",3940.78027344,278.91347408,"00000170089000000",1.38804776650029
