"","Acct","Permit_Type","PermitDate","Mapsco","Permit_Date","Count_Permits","Days_Since_Permit"
"5685","00000227095000000","Building (BU) Single Family  Addition","2018/10/18 00:00:00","47-A",2018-10-18,1,898
"5686","0054530G000640000","Building (BU) Single Family  Addition","2018/10/18 00:00:00","25-V",2018-10-18,1,898
"5687","0054530G000630000","Building (BU) Single Family  Addition","2018/10/18 00:00:00","25-V",2018-10-18,1,898
"5688","00000688144000000","Building (BU) Single Family  Addition","2018/10/16 00:00:00","42-M",2018-10-16,1,900
"5689","00000688150000000","Building (BU) Single Family  Addition","2018/10/16 00:00:00","42-M",2018-10-16,1,900
"5690","00000734347310000","Building (BU) Single Family  Addition","2018/10/18 00:00:00","15-X",2018-10-18,1,898
"5691","00000734347420100","Building (BU) Single Family  Addition","2018/10/18 00:00:00","15-X",2018-10-18,1,898
"5692","00000734347350000","Building (BU) Single Family  Addition","2018/10/18 00:00:00","15-X",2018-10-18,1,898
"5693","00000734347330000","Building (BU) Single Family  Addition","2018/10/18 00:00:00","15-X",2018-10-18,1,898
"5694","00000125392000000","Building (BU) Single Family  Addition","2018/12/19 00:00:00","46-F",2018-12-19,1,836
"5695","00000125395000000","Building (BU) Single Family  Addition","2018/12/19 00:00:00","46-F",2018-12-19,1,836
"5696","00000125389000000","Building (BU) Single Family  Addition","2018/12/19 00:00:00","46-F",2018-12-19,1,836
"5697","00000616477000000","Building (BU) Single Family  Addition","2018/10/18 00:00:00","64-X",2018-10-18,1,898
"5698","00000616480000000","Building (BU) Single Family  Addition","2018/10/18 00:00:00","64-X",2018-10-18,1,898
"5699","00000588001000000","Building (BU) Single Family  Addition","2018/11/12 00:00:00","23-H",2018-11-12,1,873
"5700","00000421405000000","Building (BU) Single Family  Addition","2018/10/26 00:00:00","25-S",2018-10-26,1,890
"5701","00000421435000000","Building (BU) Single Family  Addition","2018/10/26 00:00:00","25-S",2018-10-26,1,890
"5702","00000421438000000","Building (BU) Single Family  Addition","2018/10/26 00:00:00","25-S",2018-10-26,1,890
"5703","00000680986000000","Building (BU) Single Family  Addition","2018/10/22 00:00:00","43-H",2018-10-22,1,894
"5704","00000680983000000","Building (BU) Single Family  Addition","2018/10/22 00:00:00","43-H",2018-10-22,1,894
"5705","00000622810000000","Building (BU) Single Family  Addition","2018/10/22 00:00:00","59-N",2018-10-22,1,894
"5706","00000622945000000","Building (BU) Single Family  Addition","2018/10/22 00:00:00","59-N",2018-10-22,1,894
"5707","00000144064000000","Building (BU) Single Family  Addition","2018/10/17 00:00:00","46-X",2018-10-17,1,899
